scenario_id,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,mode,contingency_id,contingency_type,element_table,element_index,element_name,description,converged,power_flow_run,pf_status,min_vm_pu,max_vm_pu,max_vuf_percent,max_line_loading_percent,p_grid_mw,unserved_load_mw,critical_unserved_load_mw,n_unserved_buses,non_convergence_violation,service_loss_violation,critical_service_loss_violation,voltage_low_violation,voltage_high_violation,loading_violation,vuf_violation,violation_label,severity_score,state_restoration_passed
high_pv_midday,0.75,1.0,1.0,1.0,1.0,0.0,grid_connected,pv_2_trip,pv_trip,asymmetric_sgen,2,PV_three_phase_remote,Trip PV PV_three_phase_remote,True,True,solved,0.983846980482783,1.004368529531464,0.24197298600212366,34.91152483978521,0.03951055900488651,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
high_pv_midday,0.75,1.0,1.0,1.0,1.0,0.0,grid_connected,bess_trip,bess_trip,bess_pair,bess_static_setpoint,BESS_static_setpoint,Trip BESS static setpoint,True,True,solved,0.9861292539855148,1.0048565356561772,0.24160100092735282,31.42660913620888,0.033383134397111894,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
high_pv_midday,0.75,1.0,1.0,1.0,1.0,0.0,grid_connected,pcc_outage,pcc_outage,ext_grid,0,PCC_slack_grid_connected,Disconnect the PCC/slack equivalent,False,False,no_slack_skip,,,,,,0.051000000000000004,0.02025,5,True,True,True,False,False,False,False,True,1.0,True
phase_b_heavy,1.0,0.9,1.45,0.9,0.4,0.0,grid_connected,line_0_out,line_outage,line,0,L0_PCC_to_main,Open line L0_PCC_to_main,False,False,service_loss_skip,,,,,,0.0755,0.02925,5,False,True,True,False,False,False,False,True,1.0,True
phase_b_heavy,1.0,0.9,1.45,0.9,0.4,0.0,grid_connected,line_1_out,line_outage,line,1,L1_main_to_critical,Open line L1_main_to_critical,False,False,service_loss_skip,,,,,,0.05725,0.02925,4,False,True,True,False,False,False,False,True,1.0,True
phase_b_heavy,1.0,0.9,1.45,0.9,0.4,0.0,grid_connected,line_2_out,line_outage,line,2,L2_main_to_residential,Open line L2_main_to_residential,False,False,service_loss_skip,,,,,,0.01825,0.0,1,False,True,False,False,False,False,False,True,0.9125,True
phase_b_heavy,1.0,0.9,1.45,0.9,0.4,0.0,grid_connected,line_3_out,line_outage,line,3,L3_residential_to_pvA,Open line L3_residential_to_pvA,True,True,solved,0.9651492314694187,1.000247301059997,0.49007229911013467,67.07425154449729,0.07199109828292238,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
phase_b_heavy,1.0,0.9,1.45,0.9,0.4,0.0,grid_connected,line_6_out,line_outage,line,6,L6_ev_to_remote,Open line L6_ev_to_remote,False,False,service_loss_skip,,,,,,0.011000000000000001,0.0,1,False,True,False,False,False,False,False,True,0.55,True
phase_b_heavy,1.0,0.9,1.45,0.9,0.4,0.0,grid_connected,line_7_out,line_outage,line,7,L7_critical_to_medical,Open line L7_critical_to_medical,False,False,service_loss_skip,,,,,,0.011200000000000002,0.011200000000000002,1,False,True,True,False,False,False,False,True,1.0,True
phase_b_heavy,1.0,0.9,1.45,0.9,0.4,0.0,grid_connected,pv_0_trip,pv_trip,asymmetric_sgen,0,PV_single_phase_A,Trip PV PV_single_phase_A,True,True,solved,0.965149234752605,1.0002473099952902,0.4900722969026089,67.07421516623715,0.07199109717743381,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
phase_b_heavy,1.0,0.9,1.45,0.9,0.4,0.0,grid_connected,pv_1_trip,pv_trip,asymmetric_sgen,1,PV_single_phase_C,Trip PV PV_single_phase_C,True,True,solved,0.9650643384513075,1.0001461501006983,0.4796195002265466,67.08297534498922,0.0719951371121442,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
phase_b_heavy,1.0,0.9,1.45,0.9,0.4,0.0,grid_connected,pv_2_trip,pv_trip,asymmetric_sgen,2,PV_three_phase_remote,Trip PV PV_three_phase_remote,True,True,solved,0.9636276150154558,1.0001415899479116,0.49705707705431246,68.54786843196385,0.07207259195471066,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
phase_b_heavy,1.0,0.9,1.45,0.9,0.4,0.0,grid_connected,bess_trip,bess_trip,bess_pair,bess_static_setpoint,BESS_static_setpoint,Trip BESS static setpoint,True,True,solved,0.964914601714941,1.000141046466469,0.4951562029218543,67.09747494180296,0.0695820493423443,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
phase_b_heavy,1.0,0.9,1.45,0.9,0.4,0.0,grid_connected,pcc_outage,pcc_outage,ext_grid,0,PCC_slack_grid_connected,Disconnect the PCC/slack equivalent,False,False,no_slack_skip,,,,,,0.0755,0.02925,5,True,True,True,False,False,False,False,True,1.0,True
