scenario_id,contingency_id,contingency_type,element_table,element_index,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,converged,min_vm_pu,max_vm_pu,max_vuf_percent,max_line_loading_percent,unserved_load_mw,critical_unserved_load_mw,voltage_low_violation,voltage_high_violation,loading_violation,vuf_violation,non_convergence_violation,service_loss_violation,critical_service_loss_violation,violation_label,severity_score
phase_b_heavy,bess_trip,bess_trip,bess_pair,bess_static_setpoint,1.0,0.9,1.45,0.9,0.4,0.0,True,0.9649146017149418,1.000141046466469,0.4951562029218525,67.09747494179985,0.0,0.0,False,False,False,False,False,False,False,False,0.0
phase_b_heavy,pcc_outage,pcc_outage,ext_grid,0,1.0,0.9,1.45,0.9,0.4,0.0,False,,,,,0.0755,0.02925,False,False,False,False,True,True,True,True,1.0
evening_peak_bess_discharge,line_0_out,line_outage,line,0,1.35,1.05,1.2,1.0,0.05,0.009,False,,,,,0.10023750000000001,0.03948750000000001,False,False,False,False,False,True,True,True,1.0
evening_peak_bess_discharge,line_1_out,line_outage,line,1,1.35,1.05,1.2,1.0,0.05,0.009,False,,,,,0.07641,0.03948750000000001,False,False,False,False,False,True,True,True,1.0
evening_peak_bess_discharge,line_2_out,line_outage,line,2,1.35,1.05,1.2,1.0,0.05,0.009,False,,,,,0.0238275,0.0,False,False,False,False,False,True,False,True,1.0
evening_peak_bess_discharge,line_3_out,line_outage,line,3,1.35,1.05,1.2,1.0,0.05,0.009,True,0.9658782299617344,1.000099838909223,0.33409587744482605,71.05455665883431,0.0,0.0,False,False,False,False,False,False,False,False,0.0
evening_peak_bess_discharge,line_6_out,line_outage,line,6,1.35,1.05,1.2,1.0,0.05,0.009,False,,,,,0.01566,0.0,False,False,False,False,False,True,False,True,0.783
evening_peak_bess_discharge,line_7_out,line_outage,line,7,1.35,1.05,1.2,1.0,0.05,0.009,False,,,,,0.014782500000000004,0.014782500000000004,False,False,False,False,False,True,True,True,1.0
evening_peak_bess_discharge,pv_0_trip,pv_trip,asymmetric_sgen,0,1.35,1.05,1.2,1.0,0.05,0.009,True,0.9658782332904605,1.000099838942109,0.3340958759327124,71.05451840332277,0.0,0.0,False,False,False,False,False,False,False,False,0.0
evening_peak_bess_discharge,pv_1_trip,pv_trip,asymmetric_sgen,1,1.35,1.05,1.2,1.0,0.05,0.009,True,0.9658677769973945,1.0000975513216361,0.33260533629416433,71.05566791261475,0.0,0.0,False,False,False,False,False,False,False,False,0.0
evening_peak_bess_discharge,pv_2_trip,pv_trip,asymmetric_sgen,2,1.35,1.05,1.2,1.0,0.05,0.009,True,0.9656887769513671,1.0000990267827317,0.3348531060759298,71.23853855190747,0.0,0.0,False,False,False,False,False,False,False,False,0.0
