epoch,train_loss,val_loss,model
33,0.016429351642727852,0.03458293154835701,PhaseAwareGNN
34,0.012958439998328686,0.048337146639823914,PhaseAwareGNN
35,0.011379353702068329,0.08851210027933121,PhaseAwareGNN
36,0.011370604857802391,0.07900280505418777,PhaseAwareGNN
37,0.009192310273647308,0.038240861147642136,PhaseAwareGNN
38,0.006811247672885656,0.01609186641871929,PhaseAwareGNN
39,0.005778765771538019,0.01327959168702364,PhaseAwareGNN
40,0.005158493295311928,0.023334555327892303,PhaseAwareGNN
41,0.004828598350286484,0.045941900461912155,PhaseAwareGNN
42,0.004800641443580389,0.06146765500307083,PhaseAwareGNN
43,0.004419566597789526,0.05887478217482567,PhaseAwareGNN
44,0.0038609353359788656,0.048226140439510345,PhaseAwareGNN
45,0.0033926379401236773,0.0365707129240036,PhaseAwareGNN
46,0.0031338045373559,0.027185870334506035,PhaseAwareGNN
47,0.0030653532594442368,0.020482562482357025,PhaseAwareGNN
48,0.0029795824084430933,0.01625605672597885,PhaseAwareGNN
49,0.0027956771664321423,0.01403994020074606,PhaseAwareGNN
50,0.0026417903136461973,0.01332248467952013,PhaseAwareGNN
51,0.002605426823720336,0.013419701717793941,PhaseAwareGNN
52,0.002598692663013935,0.013758978806436062,PhaseAwareGNN
53,0.0025288488250225782,0.01408290397375822,PhaseAwareGNN
54,0.0024324993137270212,0.013696136884391308,PhaseAwareGNN
55,0.0023673465475440025,0.012727960012853146,PhaseAwareGNN
