row_id,scenario_id,contingency_id,violation_label,severity_score,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,contingency_type,element_table,element_index,base_load_scale,base_phase_a_factor,base_phase_b_factor,base_phase_c_factor,base_pv_scale,base_bess_p_discharge_mw,base_min_vm_pu,base_max_vm_pu,base_max_vuf_percent,base_max_line_loading_percent,base_p_grid_mw,base_q_grid_mvar,base_p_load_mw,base_q_load_mvar,base_p_sgen_mw,base_p_line_loss_mw,base_p_load_a_mw,base_p_load_b_mw,base_p_load_c_mw,base_p_sgen_a_mw,base_p_sgen_b_mw,base_p_sgen_c_mw,base_mode
r0025,high_pv_midday,line_3_out,0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,line_outage,line,3,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0026,high_pv_midday,line_6_out,1,0.4125,0.75,1.0,1.0,1.0,1.0,0.0,line_outage,line,6,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0027,high_pv_midday,line_7_out,1,1.0,0.75,1.0,1.0,1.0,1.0,0.0,line_outage,line,7,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0028,high_pv_midday,pv_0_trip,0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,pv_trip,asymmetric_sgen,0,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0029,high_pv_midday,pv_1_trip,0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,pv_trip,asymmetric_sgen,1,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0030,high_pv_midday,pv_2_trip,0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,pv_trip,asymmetric_sgen,2,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0031,high_pv_midday,bess_trip,0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,bess_trip,bess_pair,bess_static_setpoint,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0032,high_pv_midday,pcc_outage,1,1.0,0.75,1.0,1.0,1.0,1.0,0.0,pcc_outage,ext_grid,0,0.75,1.0,1.0,1.0,1.0,0.0,0.9861292539855192,1.0048565356561765,0.2416010009273052,31.426609136203226,0.0333831343971104,0.010247762501866,0.051,0.0102,0.018,0.000383134568506,0.01575,0.0195,0.01575,0.008,0.002,0.008,grid_connected
r0033,phase_b_heavy,line_0_out,1,1.0,1.0,0.9,1.45,0.9,0.4,0.0,line_outage,line,0,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0034,phase_b_heavy,line_1_out,1,1.0,1.0,0.9,1.45,0.9,0.4,0.0,line_outage,line,1,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
