threshold,TP,FP,TN,FN,recall,precision,fnr,pf_calls_saved_fraction,missed_violations,model
0.6,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.605,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.61,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.615,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.62,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.625,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.63,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.635,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.64,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.645,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.65,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.655,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.66,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.665,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.67,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.675,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.68,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.685,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.6900000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.6950000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.7000000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.705,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.71,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.715,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.72,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
