epoch,model_kind,train_loss,val_loss,model
1,pi,0.6145935547657502,0.6042871475219727,PI-MLP full
2,pi,0.5646924086106129,0.5923408269882202,PI-MLP full
3,pi,0.5353025946861658,0.5878116488456726,PI-MLP full
4,pi,0.5182067614335281,0.582283079624176,PI-MLP full
5,pi,0.4865018832377898,0.5618389248847961,PI-MLP full
6,pi,0.450627686885687,0.5481429696083069,PI-MLP full
7,pi,0.43162013781376374,0.5398140549659729,PI-MLP full
8,pi,0.41057377136670625,0.5582179427146912,PI-MLP full
9,pi,0.36612900174581087,0.5756111741065979,PI-MLP full
10,pi,0.36057528394919175,0.5693863034248352,PI-MLP full
11,pi,0.35054539449704,0.5232682824134827,PI-MLP full
12,pi,0.30289225299388933,0.4780021607875824,PI-MLP full
13,pi,0.27900839425050294,0.44690847396850586,PI-MLP full
14,pi,0.2613771806160609,0.42810454964637756,PI-MLP full
15,pi,0.22094833430571434,0.39911597967147827,PI-MLP full
16,pi,0.19403363229372564,0.34794557094573975,PI-MLP full
17,pi,0.17464000636186355,0.2590939402580261,PI-MLP full
18,pi,0.13475858209989008,0.21394377946853638,PI-MLP full
19,pi,0.1538718044757843,0.21054726839065552,PI-MLP full
20,pi,0.13010701556236315,0.17398089170455933,PI-MLP full
21,pi,0.08868069583788896,0.1510833501815796,PI-MLP full
